State,County,County Type,Issuer Name,Metal Level,Plan Type,Rating Area,Premium Child,Premium Adult Individual Age 21,Premium Adult Individual Age 27,Premium Adult Individual Age 30,Premium Adult Individual Age 40,Premium Adult Individual Age 50,Premium Adult Individual Age 60,Premium Couple 21  ,Premium Couple 30,Premium Couple 40,Premium Couple 50,Premium Couple 60,"Couple+1 child, Age 21","Couple+1 child, Age 30","Couple+1 child, Age 40","Couple+1 child, Age 50","Couple+2 children, Age 21","Couple+2 children, Age 30","Couple+2 children, Age 40","Couple+2 children, Age 50","Couple+3 or more Children, Age 21","Couple+3 or more Children, Age 30","Couple+3 or more Children, Age 40","Couple+3 or more Children, Age 50","Individual+1 child, Age 21","Individual+1 child, Age 30","Individual+1 child, Age 40","Individual+1 child, Age 50","Individual+2 children, Age 21","Individual+2 children, Age 30","Individual+2 children, Age 40","Individual+2 children, Age 50","Individual+3 or more children, Age 21","Individual+3 or more children, Age 30","Individual+3 or more children, Age 40","Individual+3 or more children, Age 50",Medical Deductible - individual - standard,Drug Deductible - individual - standard,Medical Deductible -family - standard,Drug Deductible - family - standard,Medical Maximum Out Of Pocket - individual - standard,Medical Maximum Out of Pocket - family - standard,Unemployment numerator,Unemployment denominator,Uninsured adults numerator,Uninsured adults denominator,Uninsured children numerator,Uninsured children denominator,Primary care physicians numerator,Primary care physicians denominator,Per capita income,Median household income,Median family income,Population
IL,CASS,Rural,Land of Lincoln Mutual Health Insurance Company,Bronze,PPO,Rating Area 10,137.13,215.96,226.32,245.11,275.99,385.7,586.1,431.92,490.22,551.98,771.4,1172.2,569.04,627.35,689.11,908.53,706.18,764.48,826.24,1045.65,843.31,901.61,963.37,1182.79,353.09,382.24,413.12,522.82,490.22,519.37,550.25,659.96,627.35,656.5,687.38,797.08,4000,0,8000,0,6250,12500,277,6162,767,7331,118,3092,0,12505,19825.0,41544.0,51624.0,13642.0
IL,CHAMPAIGN,Urban,Blue Cross Blue Shield of Illinois,Bronze,PPO,Rating Area 9,105.81,166.63,174.63,189.13,212.96,297.61,452.25,333.26,378.26,425.92,595.22,904.5,439.07,484.07,531.73,701.03,544.88,589.88,637.54,806.84,650.69,695.69,743.35,912.65,272.44,294.94,318.77,403.42,378.25,400.75,424.58,509.23,484.06,506.56,530.39,615.04,5000,0,12700,0,6250,12700,4653,105669,9304,129729,1108,41404,199,209399,24553.0,45262.0,65785.0,201081.0
IL,CHAMPAIGN,Urban,Coventry Health Care,Bronze,PPO,Rating Area 9,111.57,175.7,184.13,199.42,224.54,313.8,476.85,351.4,398.84,449.08,627.6,953.7,462.96,510.4,560.65,739.17,574.54,621.98,672.22,850.74,686.1,733.55,783.79,962.31,287.27,310.99,336.11,425.37,398.84,422.55,447.67,536.94,510.4,534.13,559.25,648.51,5600,0,11200,0,6350,12700,4653,105669,9304,129729,1108,41404,199,209399,24553.0,45262.0,65785.0,201081.0
IL,CHAMPAIGN,Urban,"Health Alliance Medical Plans, Inc.",Bronze,HMO,Rating Area 9,117.13,184.45,193.31,209.36,235.73,329.44,500.61,368.9,418.72,471.46,658.88,1001.22,486.03,535.85,588.58,776.01,603.16,652.98,705.72,893.14,720.29,770.11,822.84,1010.27,301.58,326.49,352.86,446.57,418.71,443.62,469.99,563.7,535.83,560.75,587.12,680.82,3150,0,6300,0,6350,12700,4653,105669,9304,129729,1108,41404,199,209399,24553.0,45262.0,65785.0,201081.0
IL,CHAMPAIGN,Urban,Land of Lincoln Mutual Health Insurance Company,Bronze,PPO,Rating Area 9,131.41,206.95,216.89,234.89,264.48,369.61,561.66,413.9,469.78,528.96,739.22,1123.32,545.31,601.19,660.38,870.64,676.74,732.61,791.8,1002.06,808.16,864.04,923.22,1133.48,338.37,366.3,395.9,501.03,469.78,497.72,527.31,632.45,601.21,629.15,658.74,763.87,4000,0,8000,0,6250,12500,4653,105669,9304,129729,1108,41404,199,209399,24553.0,45262.0,65785.0,201081.0
IL,CHRISTIAN,Urban,Blue Cross Blue Shield of Illinois,Bronze,PPO,Rating Area 10,108.31,170.57,178.76,193.6,217.99,304.64,462.93,341.14,387.2,435.98,609.28,925.86,449.45,495.51,544.29,717.58,557.76,603.81,652.6,825.9,666.06,712.13,760.91,934.21,278.88,301.9,326.3,412.95,387.19,410.22,434.61,521.26,495.5,518.53,542.92,629.56,5000,0,12700,0,6250,12700,785,14837,1360,18666,182,6972,13,33102,21519.0,41712.0,52680.0,34800.0
IL,CHRISTIAN,Urban,Coventry Health Care,Bronze,PPO,Rating Area 10,110.18,173.51,181.83,196.93,221.74,309.88,470.89,347.02,393.86,443.48,619.76,941.78,457.2,504.04,553.66,729.94,567.38,614.22,663.84,840.12,677.56,724.4,774.02,950.3,283.69,307.11,331.92,420.06,393.87,417.29,442.1,530.24,504.05,527.47,552.28,640.42,5600,0,11200,0,6350,12700,785,14837,1360,18666,182,6972,13,33102,21519.0,41712.0,52680.0,34800.0
IL,CHRISTIAN,Urban,"Health Alliance Medical Plans, Inc.",Bronze,HMO,Rating Area 10,117.13,184.45,193.31,209.36,235.73,329.44,500.61,368.9,418.72,471.46,658.88,1001.22,486.03,535.85,588.58,776.01,603.16,652.98,705.72,893.14,720.29,770.11,822.84,1010.27,301.58,326.49,352.86,446.57,418.71,443.62,469.99,563.7,535.83,560.75,587.12,680.82,3150,0,6300,0,6350,12700,785,14837,1360,18666,182,6972,13,33102,21519.0,41712.0,52680.0,34800.0
IL,CHRISTIAN,Urban,Land of Lincoln Mutual Health Insurance Company,Bronze,PPO,Rating Area 10,137.13,215.96,226.32,245.11,275.99,385.7,586.1,431.92,490.22,551.98,771.4,1172.2,569.04,627.35,689.11,908.53,706.18,764.48,826.24,1045.65,843.31,901.61,963.37,1182.79,353.09,382.24,413.12,522.82,490.22,519.37,550.25,659.96,627.35,656.5,687.38,797.08,4000,0,8000,0,6250,12500,785,14837,1360,18666,182,6972,13,33102,21519.0,41712.0,52680.0,34800.0
IL,CLARK,Rural,Blue Cross Blue Shield of Illinois,Bronze,PPO,Rating Area 9,105.81,166.63,174.63,189.13,212.96,297.61,452.25,333.26,378.26,425.92,595.22,904.5,439.07,484.07,531.73,701.03,544.88,589.88,637.54,806.84,650.69,695.69,743.35,912.65,272.44,294.94,318.77,403.42,378.25,400.75,424.58,509.23,484.06,506.56,530.39,615.04,5000,0,12700,0,6250,12700,402,7775,662,9135,100,3749,7,15767,23173.0,43597.0,52689.0,16335.0
IL,CLARK,Rural,Coventry Health Care,Bronze,PPO,Rating Area 9,111.57,175.7,184.13,199.42,224.54,313.8,476.85,351.4,398.84,449.08,627.6,953.7,462.96,510.4,560.65,739.17,574.54,621.98,672.22,850.74,686.1,733.55,783.79,962.31,287.27,310.99,336.11,425.37,398.84,422.55,447.67,536.94,510.4,534.13,559.25,648.51,5600,0,11200,0,6350,12700,402,7775,662,9135,100,3749,7,15767,23173.0,43597.0,52689.0,16335.0
IL,CLARK,Rural,"Health Alliance Medical Plans, Inc.",Bronze,HMO,Rating Area 9,117.13,184.45,193.31,209.36,235.73,329.44,500.61,368.9,418.72,471.46,658.88,1001.22,486.03,535.85,588.58,776.01,603.16,652.98,705.72,893.14,720.29,770.11,822.84,1010.27,301.58,326.49,352.86,446.57,418.71,443.62,469.99,563.7,535.83,560.75,587.12,680.82,3150,0,6300,0,6350,12700,402,7775,662,9135,100,3749,7,15767,23173.0,43597.0,52689.0,16335.0
IL,CLARK,Rural,Land of Lincoln Mutual Health Insurance Company,Bronze,PPO,Rating Area 9,131.41,206.95,216.89,234.89,264.48,369.61,561.66,413.9,469.78,528.96,739.22,1123.32,545.31,601.19,660.38,870.64,676.74,732.61,791.8,1002.06,808.16,864.04,923.22,1133.48,338.37,366.3,395.9,501.03,469.78,497.72,527.31,632.45,601.21,629.15,658.74,763.87,4000,0,8000,0,6250,12500,402,7775,662,9135,100,3749,7,15767,23173.0,43597.0,52689.0,16335.0
IL,CLAY,Rural,Blue Cross Blue Shield of Illinois,Bronze,PPO,Rating Area 13,110.35,173.78,182.12,197.24,222.09,310.38,471.65,347.56,394.48,444.18,620.76,943.3,457.9,504.83,554.53,731.11,568.26,615.18,664.88,841.46,678.6,725.53,775.23,951.81,284.13,307.59,332.44,420.73,394.48,417.94,442.78,531.07,504.82,528.29,553.14,641.42,5000,0,12700,0,6250,12700,351,6611,584,7569,78,3089,2,13269,20802.0,38016.0,48659.0,13815.0
IL,CLAY,Rural,"Health Alliance Medical Plans, Inc.",Bronze,HMO,Rating Area 13,125.76,198.05,207.55,224.78,253.1,353.71,537.5,396.1,449.56,506.2,707.42,1075.0,521.86,575.32,631.96,833.18,647.62,701.08,757.72,958.93,773.38,826.84,883.48,1084.7,323.81,350.54,378.86,479.46,449.57,476.3,504.62,605.23,575.33,602.06,630.38,730.99,3150,0,6300,0,6350,12700,351,6611,584,7569,78,3089,2,13269,20802.0,38016.0,48659.0,13815.0
IL,CLAY,Rural,Land of Lincoln Mutual Health Insurance Company,Bronze,PPO,Rating Area 13,137.83,217.05,227.47,246.35,277.39,387.65,589.07,434.1,492.7,554.78,775.3,1178.14,571.93,630.53,692.61,913.13,709.76,768.36,830.44,1050.96,847.59,906.19,968.27,1188.79,354.88,384.18,415.22,525.48,492.71,522.01,553.04,663.31,630.54,659.84,690.88,801.14,4000,0,8000,0,6250,12500,351,6611,584,7569,78,3089,2,13269,20802.0,38016.0,48659.0,13815.0
